Year,PresParty,SenParty,HouseParty,TrifectaFlag,FedMinWage,RateChange,PercentChange,IncreaseFlag,YearsSinceLastChange
1938,Democrat,Democrat,Democrat,Democrat,$0.25,$0.25,100.00,TRUE,0
1939,Democrat,Democrat,Democrat,Democrat,$0.30,$0.05,16.67,TRUE,1
1940,Democrat,Democrat,Democrat,Democrat,$0.30,$0.00,0.00,FALSE,1
1941,Democrat,Democrat,Democrat,Democrat,$0.30,$0.00,0.00,FALSE,2
1942,Democrat,Democrat,Democrat,Democrat,$0.30,$0.00,0.00,FALSE,3
1943,Democrat,Democrat,Democrat,Democrat,$0.30,$0.00,0.00,FALSE,4
1944,Democrat,Democrat,Democrat,Democrat,$0.30,$0.00,0.00,FALSE,5
1945,Democrat,Democrat,Democrat,Democrat,$0.40,$0.10,25.00,TRUE,6
1946,Democrat,Democrat,Democrat,Democrat,$0.40,$0.00,0.00,FALSE,1
1947,Democrat,Republican,Republican,None,$0.40,$0.00,0.00,FALSE,2
1948,Democrat,Republican,Republican,None,$0.40,$0.00,0.00,FALSE,3
1949,Democrat,Democrat,Democrat,Democrat,$0.40,$0.00,0.00,FALSE,4
1950,Democrat,Democrat,Democrat,Democrat,$0.75,$0.35,46.67,TRUE,5
1951,Democrat,Democrat,Democrat,Democrat,$0.75,$0.00,0.00,FALSE,1
1952,Democrat,Democrat,Democrat,Democrat,$0.75,$0.00,0.00,FALSE,2
1953,Republican,Republican,Republican,Republican,$0.75,$0.00,0.00,FALSE,3
1954,Republican,Republican,Republican,Republican,$0.75,$0.00,0.00,FALSE,4
1955,Republican,Democrat,Democrat,None,$0.75,$0.00,0.00,FALSE,5
1956,Republican,Democrat,Democrat,None,$1.00,$0.25,25.00,TRUE,6
1957,Republican,Democrat,Democrat,None,$1.00,$0.00,0.00,FALSE,1
1958,Republican,Democrat,Democrat,None,$1.00,$0.00,0.00,FALSE,2
1959,Republican,Democrat,Democrat,None,$1.00,$0.00,0.00,FALSE,3
1960,Republican,Democrat,Democrat,None,$1.00,$0.00,0.00,FALSE,4
1961,Democrat,Democrat,Democrat,Democrat,$1.15,$0.15,13.04,TRUE,5
1962,Democrat,Democrat,Democrat,Democrat,$1.15,$0.00,0.00,FALSE,1
1963,Democrat,Democrat,Democrat,Democrat,$1.25,$0.10,8.00,TRUE,2
1964,Democrat,Democrat,Democrat,Democrat,$1.25,$0.00,0.00,FALSE,1
1965,Democrat,Democrat,Democrat,Democrat,$1.25,$0.00,0.00,FALSE,2
1966,Democrat,Democrat,Democrat,Democrat,$1.25,$0.00,0.00,FALSE,3
1967,Democrat,Democrat,Democrat,Democrat,$1.40,$0.15,10.71,TRUE,4
1968,Democrat,Democrat,Democrat,Democrat,$1.60,$0.20,12.50,TRUE,1
1969,Republican,Democrat,Democrat,None,$1.60,$0.00,0.00,FALSE,1
1970,Republican,Democrat,Democrat,None,$1.60,$0.00,0.00,FALSE,2
1971,Republican,Democrat,Democrat,None,$1.60,$0.00,0.00,FALSE,3
1972,Republican,Democrat,Democrat,None,$1.60,$0.00,0.00,FALSE,4
1973,Republican,Democrat,Democrat,None,$1.60,$0.00,0.00,FALSE,5
1974,Republican,Democrat,Democrat,None,$2.00,$0.40,20.00,TRUE,6
1975,Republican,Democrat,Democrat,None,$2.10,$0.10,4.76,TRUE,1
1976,Republican,Democrat,Democrat,None,$2.30,$0.20,8.70,TRUE,1
1977,Democrat,Democrat,Democrat,Democrat,$2.30,$0.00,0.00,FALSE,1
1978,Democrat,Democrat,Democrat,Democrat,$2.65,$0.35,13.21,TRUE,2
1979,Democrat,Democrat,Democrat,Democrat,$2.90,$0.25,8.62,TRUE,1
1980,Democrat,Democrat,Democrat,Democrat,$3.10,$0.20,6.45,TRUE,1
1981,Republican,Republican,Democrat,None,$3.35,$0.25,7.46,TRUE,1
1982,Republican,Republican,Democrat,None,$3.35,$0.00,0.00,FALSE,1
1983,Republican,Republican,Democrat,None,$3.35,$0.00,0.00,FALSE,2
1984,Republican,Republican,Democrat,None,$3.35,$0.00,0.00,FALSE,3
1985,Republican,Republican,Democrat,None,$3.35,$0.00,0.00,FALSE,4
1986,Republican,Republican,Democrat,None,$3.35,$0.00,0.00,FALSE,5
1987,Republican,Democrat,Democrat,None,$3.35,$0.00,0.00,FALSE,6
1988,Republican,Democrat,Democrat,None,$3.35,$0.00,0.00,FALSE,7
1989,Republican,Democrat,Democrat,None,$3.35,$0.00,0.00,FALSE,8
1990,Republican,Democrat,Democrat,None,$3.80,$0.45,11.84,TRUE,9
1991,Republican,Democrat,Democrat,None,$4.25,$0.45,10.59,TRUE,1
1992,Republican,Democrat,Democrat,None,$4.25,$0.00,0.00,FALSE,1
1993,Democrat,Democrat,Democrat,Democrat,$4.25,$0.00,0.00,FALSE,2
1994,Democrat,Democrat,Democrat,Democrat,$4.25,$0.00,0.00,FALSE,3
1995,Democrat,Republican,Republican,None,$4.25,$0.00,0.00,FALSE,4
1996,Democrat,Republican,Republican,None,$4.75,$0.50,10.53,TRUE,5
1997,Democrat,Republican,Republican,None,$5.15,$0.40,7.77,TRUE,1
1998,Democrat,Republican,Republican,None,$5.15,$0.00,0.00,FALSE,1
1999,Democrat,Republican,Republican,None,$5.15,$0.00,0.00,FALSE,2
2000,Democrat,Republican,Republican,None,$5.15,$0.00,0.00,FALSE,3
2001,Republican,Democrat,Republican,None,$5.15,$0.00,0.00,FALSE,4
2002,Republican,Democrat,Republican,None,$5.15,$0.00,0.00,FALSE,5
2003,Republican,Republican,Republican,Republican,$5.15,$0.00,0.00,FALSE,6
2004,Republican,Republican,Republican,Republican,$5.15,$0.00,0.00,FALSE,7
2005,Republican,Republican,Republican,Republican,$5.15,$0.00,0.00,FALSE,8
2006,Republican,Republican,Republican,Republican,$5.15,$0.00,0.00,FALSE,9
2007,Republican,Democrat,Democrat,None,$5.85,$0.70,11.97,TRUE,10
2008,Republican,Democrat,Democrat,None,$6.55,$0.70,10.69,TRUE,1
2009,Democrat,Democrat,Democrat,Democrat,$7.25,$0.70,9.66,TRUE,1
2010,Democrat,Democrat,Democrat,Democrat,$7.25,$0.00,0.00,FALSE,1
2011,Democrat,Democrat,Republican,None,$7.25,$0.00,0.00,FALSE,2
2012,Democrat,Democrat,Republican,None,$7.25,$0.00,0.00,FALSE,3
2013,Democrat,Democrat,Republican,None,$7.25,$0.00,0.00,FALSE,4
2014,Democrat,Democrat,Republican,None,$7.25,$0.00,0.00,FALSE,5
2015,Democrat,Republican,Republican,None,$7.25,$0.00,0.00,FALSE,6
2016,Democrat,Republican,Republican,None,$7.25,$0.00,0.00,FALSE,7
2017,Republican,Republican,Republican,Republican,$7.25,$0.00,0.00,FALSE,8
2018,Republican,Republican,Republican,Republican,$7.25,$0.00,0.00,FALSE,9
2019,Republican,Republican,Democrat,None,$7.25,$0.00,0.00,FALSE,10
2020,Republican,Republican,Democrat,None,$7.25,$0.00,0.00,FALSE,11
2021,Democrat,Democrat,Democrat,Democrat,$7.25,$0.00,0.00,FALSE,12